asset_id,region,missing_in_ipam
1,northeast,0
2,northwest,0
3,west,0
4,northeast,0
5,east,0
6,central,0
7,east,0
8,central,0
9,northeast,0
10,southeast,0
11,west,0
12,west,0
13,west,0
14,northwest,0
15,northwest,0
16,southwest,0
17,central,0
18,northeast,0
19,west,0
20,west,0
21,northeast,0
22,east,0
23,northeast,0
24,northwest,0
25,east,0
26,southwest,0
27,central,0
28,east,0
29,northwest,0
30,west,0
31,northeast,0
32,northwest,0
33,southeast,0
34,northeast,0
35,east,0
36,northwest,0
37,northeast,0
38,northwest,0
39,northeast,0
40,northwest,0
41,northwest,0
42,northeast,0
43,northeast,0
44,northeast,0
45,west,0
46,northwest,0
47,southwest,0
48,east,0
49,northeast,0
50,northeast,0
51,,1
52,northwest,0
53,east,0
54,central,0
55,central,0
56,southwest,0
57,northeast,0
58,east,0
59,west,0
60,northeast,0
61,northeast,0
62,northeast,0
63,northwest,0
64,east,0
65,northwest,0
66,northeast,0
67,northeast,0
68,northeast,0
69,southwest,0
70,southeast,0
71,west,0
72,,1
73,northwest,0
74,southwest,0
75,northwest,0
76,east,0
77,west,0
78,northwest,0
79,northeast,0
80,northwest,0
81,west,0
82,southwest,0
83,west,0
84,northeast,0
85,northeast,0
86,northeast,0
87,southwest,0
88,southeast,0
89,west,0
90,northeast,0
91,west,0
92,,1
93,southeast,0
94,northwest,0
95,west,0
96,central,0
97,west,0
98,west,0
99,southeast,0
100,west,0
101,central,0
102,west,0
103,central,0
104,,1
105,northeast,0
106,central,0
107,central,0
108,,1
109,northwest,0
110,central,0
111,east,0
112,west,0
113,northeast,0
114,west,0
115,west,0
116,,1
117,northwest,0
118,northwest,0
119,northeast,0
120,west,0
121,east,0
122,west,0
123,east,0
124,northwest,0
125,central,0
126,northeast,0
127,west,0
128,,1
129,northeast,0
130,west,0
131,northwest,0
132,central,0
133,southwest,0
134,northwest,0
135,southeast,0
136,west,0
137,central,0
138,northwest,0
139,east,0
140,northwest,0
141,east,0
142,northeast,0
143,northeast,0
144,east,0
145,northwest,0
146,southwest,0
147,,1
148,southeast,0
149,,1
150,northeast,0
151,west,0
152,central,0
153,southwest,0
154,east,0
155,central,0
156,northwest,0
157,southeast,0
158,northwest,0
159,,1
160,southwest,0
161,northwest,0
162,west,0
163,northeast,0
164,central,0
165,northwest,0
166,east,0
167,northeast,0
168,northeast,0
169,west,0
170,southeast,0
171,,1
172,northwest,0
173,northwest,0
174,northwest,0
175,west,0
176,central,0
177,southwest,0
178,,1
179,northeast,0
180,northwest,0
181,west,0
182,northwest,0
183,southeast,0
184,northeast,0
185,northwest,0
186,west,0
187,central,0
188,northeast,0
189,southwest,0
190,west,0
191,northwest,0
192,central,0
193,southeast,0
194,central,0
195,west,0
196,northeast,0
197,,1
198,northwest,0
199,east,0
200,northwest,0
201,northwest,0
202,southeast,0
203,northeast,0
204,west,0
205,northwest,0
206,northwest,0
207,northwest,0
208,northwest,0
209,east,0
210,west,0
211,east,0
212,,1
213,northwest,0
214,northeast,0
215,northeast,0
216,northeast,0
217,west,0
218,west,0
219,southwest,0
220,northeast,0
221,central,0
222,west,0
223,southeast,0
224,central,0
225,west,0
226,,1
227,northwest,0
228,east,0
229,west,0
230,west,0
231,central,0
232,northeast,0
233,east,0
234,southeast,0
235,central,0
236,central,0
237,west,0
238,,1
239,west,0
240,,1
241,west,0
242,central,0
243,east,0
244,northwest,0
245,central,0
246,northwest,0
247,northeast,0
248,southwest,0
249,west,0
250,northwest,0
251,northwest,0
252,west,0
253,northeast,0
254,northwest,0
255,southeast,0
256,west,0
257,central,0
258,northwest,0
259,east,0
260,northeast,0
261,east,0
262,northwest,0
263,southeast,0
264,northwest,0
265,east,0
266,northwest,0
267,,1
268,northwest,0
269,west,0
270,southeast,0
271,west,0
272,southwest,0
273,northeast,0
274,east,0
275,west,0
276,,1
277,central,0
278,west,0
279,northeast,0
280,,1
281,central,0
282,northwest,0
283,northwest,0
284,east,0
285,central,0
286,west,0
287,northwest,0
288,southeast,0
289,northeast,0
290,,1
291,central,0
292,,1
293,northwest,0
294,northwest,0
295,,1
296,northwest,0
297,northeast,0
298,southwest,0
299,southwest,0
300,central,0
301,east,0
302,northeast,0
303,,1
304,northwest,0
305,northwest,0
306,central,0
307,west,0
308,northwest,0
309,east,0
310,northwest,0
311,central,0
312,east,0
313,central,0
314,northeast,0
315,central,0
316,northeast,0
317,west,0
318,,1
319,,1
320,west,0
321,,1
322,northwest,0
323,northwest,0
324,northeast,0
325,east,0
326,northwest,0
327,west,0
328,central,0
329,west,0
330,central,0
331,northwest,0
332,southeast,0
333,northwest,0
334,central,0
335,east,0
336,northwest,0
337,southeast,0
338,,1
339,west,0
340,,1
341,northwest,0
342,,1
343,west,0
344,west,0
345,northeast,0
346,northwest,0
347,southwest,0
348,central,0
349,northwest,0
350,southwest,0
351,southwest,0
352,west,0
353,east,0
354,east,0
355,northwest,0
356,northwest,0
357,,1
358,northeast,0
359,west,0
360,west,0
361,northwest,0
362,east,0
363,,1
364,west,0
365,west,0
366,central,0
367,west,0
368,southwest,0
369,west,0
370,northwest,0
371,southwest,0
372,southwest,0
373,northeast,0
374,east,0
375,west,0
376,northeast,0
377,southeast,0
