ip_address,hostname,fqdn,region,status,vendor,model
10.10.48.136,OKCED55,OKCED55.central.lightspeed.net,central,active,Arista,7280R
10.70.69.115,BOIED51,BOIED51.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.60.4.133,PHLCO46,PHLCO46.northeast.lightspeed.net,northeast,active,Arista,7280R
10.60.163.61,BOSRT97,BOSRT97.northeast.lightspeed.net,northeast,active,Arista,7280R
10.70.99.122,GEGSW61,GEGSW61.northwest.lightspeed.net,northwest,active,Juniper,MX204
10.30.116.251,SFORT49,SFORT49.west.lightspeed.net,west,active,Arista,7280R
10.10.15.224,DALRT62,DALRT62.central.lightspeed.net,central,degraded,Nokia,7750 SR-1
10.10.102.169,DALCO83,DALCO83.central.lightspeed.net,central,degraded,Cisco,ISR4431
10.70.213.19,GEGSW06,GEGSW06.northwest.lightspeed.net,northwest,active,Arista,7280R
10.60.80.151,NYCCO92,NYCCO92.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.30.33.144,SFORT90,SFORT90.west.lightspeed.net,west,active,Arista,7280R
10.70.234.255,PORAG69,PORAG69.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.60.204.214,BOSCO81,BOSCO81.northeast.lightspeed.net,northeast,active,Juniper,MX204
10.30.167.43,LAXSW80,LAXSW80.west.lightspeed.net,west,degraded,Arista,7280R
10.70.140.36,BOIAG46,BOIAG46.northwest.lightspeed.net,northwest,active,Arista,7280R
10.60.105.71,NYCRT54,NYCRT54.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.70.23.56,BOIRT53,BOIRT53.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.60.226.180,NYCED96,NYCED96.northeast.lightspeed.net,northeast,active,ADVA,FSP150
10.30.163.153,SEAED63,SEAED63.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.70.140.200,PORRT77,PORRT77.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2
10.50.2.186,ABQDS46,ABQDS46.southwest.lightspeed.net,southwest,active,ADVA,FSP3000
10.30.41.78,SEASW17,SEASW17.west.lightspeed.net,west,active,Arista,7280R
10.70.126.137,PORED59,PORED59.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.70.212.185,BOIRT39,BOIRT39.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.60.238.78,NYCAG78,NYCAG78.northeast.lightspeed.net,northeast,active,Arista,7280R
10.50.93.255,ABQDS17,ABQDS17.southwest.lightspeed.net,southwest,degraded,Cisco,ISR4431
10.10.69.11,AUSRT90,AUSRT90.central.lightspeed.net,central,active,Nokia,7750 SR-1
10.60.25.204,NYCRT71,NYCRT71.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1
10.70.115.124,BOIDS03,BOIDS03.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.60.175.198,BOSAG27,BOSAG27.northeast.lightspeed.net,northeast,active,Juniper,MX204
10.30.165.129,LAXED94,LAXED94.west.lightspeed.net,west,degraded,Arista,7280R
10.20.165.75,ATLRT18,ATLRT18.east.lightspeed.net,east,active,Juniper,MX204
10.60.225.222,BOSSW26,BOSSW26.northeast.lightspeed.net,northeast,active,Cisco,ISR4431
10.60.45.215,PHLDS81,PHLDS81.northeast.lightspeed.net,northeast,active,ADVA,FSP3000
10.70.132.53,BOIDS67,BOIDS67.northwest.lightspeed.net,northwest,down,Cisco,ISR4431
10.70.244.119,PORSW63,PORSW63.northwest.lightspeed.net,northwest,degraded,Juniper,QFX5120
10.30.62.55,SEAED15,SEAED15.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.50.103.201,ABQCO38,ABQCO38.southwest.lightspeed.net,southwest,active,Cisco,ISR4431
10.30.141.181,SFOED38,SFOED38.west.lightspeed.net,west,degraded,Juniper,MX204
10.10.207.69,OKCRT84,OKCRT84.central.lightspeed.net,central,active,RAD,ETX-2
10.30.65.83,SFODS30,SFODS30.west.lightspeed.net,west,degraded,Juniper,MX204
10.20.198.233,ATLAG76,ATLAG76.east.lightspeed.net,east,degraded,RAD,ETX-2
10.60.188.33,NYCDS07,NYCDS07.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1
10.10.171.183,AUSAG78,AUSAG78.central.lightspeed.net,central,active,Juniper,MX204
10.30.92.169,SFOCO95,SFOCO95.west.lightspeed.net,west,active,ADVA,FSP3000
10.10.248.107,OKCCO37,OKCCO37.central.lightspeed.net,central,active,Nokia,7750 SR-1
10.70.17.222,GEGED09,GEGED09.northwest.lightspeed.net,northwest,down,Juniper,MX204
10.60.201.48,PHLAG14,PHLAG14.northeast.lightspeed.net,northeast,degraded,Nokia,7750 SR-1
10.30.6.118,SFOED11,SFOED11.west.lightspeed.net,west,active,Nokia,7750 SR-1
10.20.132.168,PITCO26,PITCO26.east.lightspeed.net,east,degraded,Nokia,7750 SR-1
10.30.167.222,SFOED39,SFOED39.west.lightspeed.net,west,active,RAD,ETX-2
10.20.73.6,CLTSW03,CLTSW03.east.lightspeed.net,east,down,ADVA,FSP150
10.30.134.166,LAXRT51,LAXRT51.west.lightspeed.net,west,active,RAD,ETX-2
10.60.14.21,BOSED13,BOSED13.northeast.lightspeed.net,northeast,active,Arista,7280R
10.60.156.24,BOSCO38,BOSCO38.northeast.lightspeed.net,northeast,down,Nokia,7750 SR-1
10.70.128.156,GEGCO17,GEGCO17.northwest.lightspeed.net,northwest,active,Juniper,MX204
10.70.179.232,BOIDS64,BOIDS64.northwest.lightspeed.net,northwest,active,Juniper,MX204
10.70.8.73,GEGRT02,GEGRT02.northwest.lightspeed.net,northwest,active,ADVA,FSP3000
10.30.99.179,SFODS86,SFODS86.west.lightspeed.net,west,down,RAD,ETX-2
10.30.248.16,SFOSW44,SFOSW44.west.lightspeed.net,west,active,Juniper,MX204
10.70.95.145,BOIDS29,BOIDS29.northwest.lightspeed.net,northwest,degraded,ADVA,FSP150
10.70.110.97,BOIRT66,BOIRT66.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.60.102.199,PHLSW74,PHLSW74.northeast.lightspeed.net,northeast,down,Juniper,MX204
10.30.106.157,LAXAG12,LAXAG12.west.lightspeed.net,west,active,Arista,7280R
10.20.72.118,PITRT82,PITRT82.east.lightspeed.net,east,active,ADVA,FSP150
10.30.24.163,SEAED31,SEAED31.west.lightspeed.net,west,down,Arista,7280R
10.70.41.245,GEGRT03,GEGRT03.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.70.151.236,GEGSW45,GEGSW45.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2
10.60.142.61,PHLCO18,PHLCO18.northeast.lightspeed.net,northeast,active,Cisco,ISR4431
10.60.139.16,NYCRT39,NYCRT39.northeast.lightspeed.net,northeast,active,Juniper,QFX5120
10.60.102.43,BOSED61,BOSED61.northeast.lightspeed.net,northeast,active,RAD,ETX-2
10.60.21.61,BOSDS10,BOSDS10.northeast.lightspeed.net,northeast,active,ADVA,FSP150
10.60.125.214,PHLED45,PHLED45.northeast.lightspeed.net,northeast,active,Arista,7280R
10.60.158.19,NYCRT57,NYCRT57.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431
10.60.198.90,NYCDS49,NYCDS49.northeast.lightspeed.net,northeast,retired,Arista,7280R
10.10.25.21,OKCRT70,OKCRT70.central.lightspeed.net,central,active,Arista,7280R
10.60.32.158,BOSSW10,BOSSW10.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2
10.60.25.225,PHLAG40,PHLAG40.northeast.lightspeed.net,northeast,retired,Cisco,NCS540
10.30.59.18,SFOAG79,SFOAG79.west.lightspeed.net,west,active,Juniper,QFX5120
10.60.59.176,NYCSW52,NYCSW52.northeast.lightspeed.net,northeast,degraded,Nokia,7750 SR-1
10.60.232.80,BOSSW27,BOSSW27.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431
10.30.0.160,SEAED44,SEAED44.west.lightspeed.net,west,active,Cisco,ISR4431
10.30.239.212,SEACO29,SEACO29.west.lightspeed.net,west,active,RAD,ETX-2
10.60.168.7,BOSSW50,BOSSW50.northeast.lightspeed.net,northeast,active,ADVA,FSP150
10.20.32.122,ATLAG41,ATLAG41.east.lightspeed.net,east,active,Arista,7280R
10.60.91.197,PHLED95,PHLED95.northeast.lightspeed.net,northeast,active,Arista,7280R
10.50.95.116,ELPSW22,ELPSW22.southwest.lightspeed.net,southwest,retired,Nokia,7750 SR-1
10.30.167.133,SFODS49,SFODS49.west.lightspeed.net,west,active,Juniper,MX204
10.40.98.44,BNASW33,BNASW33.southeast.lightspeed.net,southeast,active,RAD,ETX-2
10.10.60.180,OKCSW05,OKCSW05.central.lightspeed.net,central,degraded,Arista,7280R
10.50.146.238,PHXAG05,PHXAG05.southwest.lightspeed.net,southwest,down,ADVA,FSP150
10.30.10.108,SFOAG90,SFOAG90.west.lightspeed.net,west,active,Cisco,ISR4431
10.70.22.106,BOIAG38,BOIAG38.northwest.lightspeed.net,northwest,active,ADVA,FSP150
10.20.195.236,ATLED51,ATLED51.east.lightspeed.net,east,degraded,ADVA,FSP150
10.70.147.198,GEGCO25,GEGCO25.northwest.lightspeed.net,northwest,active,Nokia,7750 SR-1
10.70.90.149,BOIRT84,BOIRT84.northwest.lightspeed.net,northwest,active,RAD,ETX-2
10.20.155.253,PITED15,PITED15.east.lightspeed.net,east,down,Juniper,MX204
10.70.150.63,GEGDS08,GEGDS08.northwest.lightspeed.net,northwest,active,Juniper,MX204
10.60.103.96,PHLRT28,PHLRT28.northeast.lightspeed.net,northeast,active,Cisco,ISR4431
