obs_ip_address,obs_hostname,obs_status,inv_vendor,inv_model,missing_in_inventory
10.60.20.111,PHLPAAG48,active,ADVA,FSP3000,0
10.40.12.42,JAXFLRT92,active,Arista,7050X3,0
10.40.76.184,BNATNDS27,active,ADVA,FSP150,0
10.30.207.91,SEAWADS79,active,Juniper,QFX5120,0
10.60.21.162,BOSMAED95,active,,,1
10.70.85.219,BOIIDED21,degraded,RAD,ETX-2,0
10.60.178.167,PHLPACO94,active,Cisco,NCS540,0
10.70.153.177,PORORED27,degraded,,,1
10.20.19.205,CLTNCCO51,degraded,Juniper,MX204,0
10.10.67.252,AUSTXDS27,active,ADVA,FSP150,0
10.60.71.19,NYCNYDS13,active,ADVA,FSP150,0
10.60.57.126,PHLPART72,active,Arista,7050X3,0
10.40.195.220,JAXFLED12,active,,,1
10.20.168.151,ATLGADS34,active,ADVA,FSP150,0
10.50.244.56,PHXAZSW84,active,Cisco,Catalyst9300,0
10.70.70.214,GEGWADS33,active,Juniper,QFX5120,0
10.70.164.70,GEGWADS12,down,Juniper,QFX5120,0
10.70.100.227,PORORSW48,active,Cisco,Catalyst9300,0
10.70.12.223,BOIIDSW96,active,Cisco,Catalyst9300,0
10.70.9.210,BOIIDAG76,active,ADVA,FSP3000,0
10.70.153.111,GEGWAED22,active,Juniper,SRX345,0
10.30.19.137,SEAWADS24,active,Juniper,QFX5120,0
10.70.41.253,PORORDS66,active,Juniper,QFX5120,0
10.60.156.186,NYCNYED21,active,,,1
10.10.236.105,OKCOKED15,active,,,1
10.30.212.105,SFOCAED35,active,Juniper,SRX345,0
10.70.170.54,GEGWART32,degraded,Arista,7050X3,0
10.20.75.130,CLTNCED75,active,Cisco,ISR4431,0
10.30.226.238,LAXCACO67,active,Cisco,NCS540,0
10.10.22.1,AUSTXDS87,degraded,Juniper,QFX5120,0
10.60.194.210,NYCNYED90,active,,,1
10.60.201.98,BOSMAED40,active,,,1
10.40.31.230,BNATNED10,active,,,1
10.10.142.126,AUSTXRT06,active,Arista,7050X3,0
10.70.172.61,BOIIDDS03,retired,Juniper,QFX5120,0
10.70.183.31,PORORDS03,active,Juniper,QFX5120,0
10.60.117.60,PHLPART28,active,Arista,7050X3,0
10.70.147.238,BOIIDDS64,active,ADVA,FSP150,0
10.70.157.66,GEGWAED54,active,,,1
10.60.52.120,BOSMART75,retired,Arista,7050X3,0
10.60.244.253,NYCNYED54,active,Juniper,SRX345,0
10.30.231.234,SFOCACO41,active,Juniper,MX204,0
10.60.210.56,BOSMACO59,retired,Cisco,NCS540,0
10.60.26.252,NYCNYDS10,active,Juniper,QFX5120,0
10.50.167.49,ABQNMDS75,down,ADVA,FSP150,0
10.60.227.244,PHLPAED78,degraded,RAD,ETX-2,0
10.60.77.63,BOSMASW53,active,Cisco,Catalyst9300,0
10.70.12.39,GEGWAED79,degraded,,,1
10.30.149.18,SFOCAED41,degraded,Cisco,ISR4431,0
10.10.155.41,OKCOKED04,active,,,1
10.30.219.49,LAXCASW06,degraded,Cisco,Catalyst9300,0
10.30.195.84,SFOCART54,active,Arista,7050X3,0
10.30.27.50,SFOCAED78,degraded,RAD,ETX-2,0
10.20.203.1,CLTNCDS07,retired,Juniper,QFX5120,0
10.30.68.10,SEAWAED27,active,Cisco,ISR4431,0
10.50.226.16,PHXAZSW41,active,Cisco,Catalyst9300,0
10.30.231.17,LAXCAED11,active,RAD,ETX-2,0
10.70.192.218,BOIIDED25,active,Cisco,ISR4431,0
10.50.254.114,PHXAZSW33,active,Cisco,Catalyst9300,0
10.10.43.224,OKCOKED39,degraded,,,1
10.70.2.187,GEGWADS86,active,Juniper,QFX5120,0
10.10.34.67,AUSTXDS65,active,Juniper,QFX5120,0
10.40.98.128,JAXFLED29,degraded,,,1
10.60.249.74,BOSMADS26,active,ADVA,FSP150,0
10.60.219.80,BOSMADS30,active,ADVA,FSP150,0
10.70.66.42,BOIIDSW02,active,Cisco,Catalyst9300,0
10.20.112.14,ATLGASW13,active,Cisco,Catalyst9300,0
10.60.32.18,BOSMACO09,degraded,Juniper,MX204,0
10.30.160.117,LAXCAED08,active,,,1
10.60.62.140,NYCNYRT35,active,Arista,7050X3,0
10.40.103.208,JAXFLDS59,retired,ADVA,FSP150,0
10.60.213.87,NYCNYDS82,active,ADVA,FSP150,0
10.30.184.232,SEAWADS72,active,,,1
10.70.236.39,GEGWADS30,active,Juniper,QFX5120,0
10.30.50.115,SFOCAAG97,degraded,ADVA,FSP3000,0
10.40.98.175,BNATNAG28,active,ADVA,FSP3000,0
10.30.164.145,LAXCAED85,active,Juniper,SRX345,0
10.30.197.188,SFOCASW76,active,Cisco,Catalyst9300,0
10.60.163.59,NYCNYDS43,active,Juniper,QFX5120,0
10.70.67.101,BOIIDED32,active,,,1
10.20.126.142,CLTNCSW49,active,Cisco,Catalyst9300,0
10.70.200.150,GEGWAAG18,active,Arista,7280R,0
10.70.100.231,BOIIDAG18,active,ADVA,FSP3000,0
10.70.52.87,GEGWAED77,active,Juniper,SRX345,0
10.40.74.56,MIAFLSW88,degraded,Cisco,Catalyst9300,0
10.20.79.229,CLTNCSW44,retired,Cisco,Catalyst9300,0
10.20.131.47,PITPAED75,down,,,1
10.30.9.73,SFOCAAG35,active,ADVA,FSP3000,0
10.20.163.75,ATLGAED53,active,Cisco,ISR4431,0
10.60.128.147,PHLPAAG61,active,Arista,7280R,0
10.20.63.177,CLTNCDS20,degraded,ADVA,FSP150,0
10.60.120.243,PHLPAAG35,active,Arista,7280R,0
10.70.248.167,BOIIDAG29,active,Arista,7280R,0
10.60.247.129,PHLPASW53,active,Cisco,Catalyst9300,0
