ip_address,hostname,fqdn,region,status,vendor,model,role
10.60.164.69,PHLPAED85,PHLPAED85.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge
10.70.127.92,BOIIDED57,BOIIDED57.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge
10.60.103.30,NYCNYCO09,NYCNYCO09.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,core
10.20.146.152,ATLGACO15,ATLGACO15.east.lightspeed.net,east,retired,Juniper,MX204,core
10.70.103.91,GEGWAAG20,GEGWAAG20.northwest.lightspeed.net,northwest,degraded,ADVA,FSP3000,agg
10.50.72.26,ELPTXSW11,ELPTXSW11.southwest.lightspeed.net,southwest,degraded,Cisco,Catalyst9300,sw
10.70.203.68,BOIIDED73,BOIIDED73.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge
10.70.15.17,BOIIDED37,BOIIDED37.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge
10.30.230.170,SEAWAED14,SEAWAED14.west.lightspeed.net,west,active,RAD,ETX-2,edge
10.70.142.125,BOIIDED02,BOIIDED02.northwest.lightspeed.net,northwest,active,RAD,ETX-2,edge
10.60.97.72,BOSMADS70,BOSMADS70.northeast.lightspeed.net,northeast,degraded,ADVA,FSP150,dist
10.30.213.182,SEAWADS60,SEAWADS60.west.lightspeed.net,west,down,ADVA,FSP150,dist
10.10.248.181,AUSTXED19,AUSTXED19.central.lightspeed.net,central,active,RAD,ETX-2,edge
10.70.85.162,BOIIDED50,BOIIDED50.northwest.lightspeed.net,northwest,active,Juniper,SRX345,edge
10.70.181.83,GEGWAED10,GEGWAED10.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge
10.60.23.136,PHLPAED34,PHLPAED34.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge
10.10.62.41,OKCOKAG48,OKCOKAG48.central.lightspeed.net,central,active,Arista,7280R,agg
10.60.202.52,BOSMACO52,BOSMACO52.northeast.lightspeed.net,northeast,active,Juniper,MX204,core
10.60.222.211,BOSMAED91,BOSMAED91.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,edge
10.70.15.68,GEGWADS81,GEGWADS81.northwest.lightspeed.net,northwest,down,ADVA,FSP150,dist
10.70.47.231,BOIIDAG10,BOIIDAG10.northwest.lightspeed.net,northwest,active,Arista,7280R,agg
10.60.0.108,BOSMASW80,BOSMASW80.northeast.lightspeed.net,northeast,down,Cisco,Catalyst9300,sw
10.70.50.174,PORORAG04,PORORAG04.northwest.lightspeed.net,northwest,active,Arista,7280R,agg
10.30.158.94,LAXCADS13,LAXCADS13.west.lightspeed.net,west,active,ADVA,FSP150,dist
10.60.19.57,PHLPADS12,PHLPADS12.northeast.lightspeed.net,northeast,retired,ADVA,FSP150,dist
10.30.195.249,SEAWADS76,SEAWADS76.west.lightspeed.net,west,active,ADVA,FSP150,dist
10.60.249.164,PHLPAAG23,PHLPAAG23.northeast.lightspeed.net,northeast,down,Arista,7280R,agg
10.60.127.80,BOSMAAG54,BOSMAAG54.northeast.lightspeed.net,northeast,active,Arista,7280R,agg
10.70.254.181,BOIIDSW48,BOIIDSW48.northwest.lightspeed.net,northwest,degraded,Cisco,Catalyst9300,sw
