ip_address,hostname,fqdn,region,status,vendor,model,role,missing_in_inventory,missing_in_ipam
10.60.20.111,PHLPAAG48,PHLPAAG48.northeast.lightspeed.net,northeast,active,ADVA,FSP3000,agg,0,0
10.40.12.42,JAXFLRT92,JAXFLRT92.southeast.lightspeed.net,southeast,active,Arista,7050X3,rtr,0,0
10.40.76.184,BNATNDS27,BNATNDS27.southeast.lightspeed.net,southeast,active,ADVA,FSP150,dist,0,0
10.30.207.91,SEAWADS79,SEAWADS79.west.lightspeed.net,west,active,Juniper,QFX5120,dist,0,0
10.60.21.162,BOSMAED95,BOSMAED95.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,1,0
10.70.85.219,BOIIDED21,BOIIDED21.northwest.lightspeed.net,northwest,degraded,RAD,ETX-2,edge,0,0
10.60.178.167,PHLPACO94,PHLPACO94.northeast.lightspeed.net,northeast,active,Cisco,NCS540,core,0,0
10.70.153.177,PORORED27,PORORED27.northwest.lightspeed.net,northwest,degraded,Cisco,ISR4431,edge,1,0
10.20.19.205,CLTNCCO51,CLTNCCO51.east.lightspeed.net,east,degraded,Juniper,MX204,core,0,0
10.10.67.252,AUSTXDS27,AUSTXDS27.central.lightspeed.net,central,active,ADVA,FSP150,dist,0,0
10.60.71.19,NYCNYDS13,NYCNYDS13.northeast.lightspeed.net,northeast,active,ADVA,FSP150,dist,0,0
10.60.57.126,PHLPART72,PHLPART72.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0
10.40.195.220,JAXFLED12,JAXFLED12.southeast.lightspeed.net,southeast,active,Juniper,SRX345,edge,1,0
10.20.168.151,ATLGADS34,ATLGADS34.east.lightspeed.net,east,active,ADVA,FSP150,dist,0,0
10.50.244.56,PHXAZSW84,PHXAZSW84.southwest.lightspeed.net,southwest,active,Cisco,Catalyst9300,sw,0,0
10.70.70.214,GEGWADS33,GEGWADS33.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,0,0
10.70.164.70,GEGWADS12,GEGWADS12.northwest.lightspeed.net,northwest,down,Juniper,QFX5120,dist,0,0
