ip_address,hostname,fqdn,region,status,vendor,model,present_in_ipam,present_in_inventory
10.70.19.33,PORORDS83,PORORDS83.northwest.lightspeed.net,northwest,down,Cisco,NCS540,1,1
10.10.227.150,DALTXSW67,DALTXSW67.central.lightspeed.net,central,active,Cisco,NCS540,1,0
10.60.11.70,BOSMART54,BOSMART54.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,1,1
10.60.66.53,NYCNYSW94,NYCNYSW94.northeast.lightspeed.net,northeast,active,Juniper,MX204,1,1
10.70.181.91,PORORAG40,PORORAG40.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,1
10.70.240.1,BOIIDED44,BOIIDED44.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.70.202.221,BOIIDSW78,BOIIDSW78.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.30.57.4,SFOCAAG67,SFOCAAG67.west.lightspeed.net,west,degraded,Arista,7280R,1,1
10.10.47.52,OKCOKCO51,OKCOKCO51.central.lightspeed.net,central,degraded,Cisco,ISR4431,1,1
10.30.3.34,LAXCACO56,LAXCACO56.west.lightspeed.net,west,active,RAD,ETX-2,1,1
10.70.86.241,PORORED16,PORORED16.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.30.10.107,SEAWAAG68,SEAWAAG68.west.lightspeed.net,west,active,Cisco,NCS540,1,0
10.60.107.137,PHLPASW83,PHLPASW83.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,1,1
10.20.36.120,ATLGART01,ATLGART01.east.lightspeed.net,east,active,RAD,ETX-2,1,1
10.60.166.239,NYCNYCO91,NYCNYCO91.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,1,1
10.70.167.162,GEGWAAG57,GEGWAAG57.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,1,0
10.70.198.224,PORORRT80,PORORRT80.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,0
10.10.165.48,AUSTXAG44,AUSTXAG44.central.lightspeed.net,central,active,Arista,7280R,1,0
10.70.171.61,GEGWASW92,GEGWASW92.northwest.lightspeed.net,northwest,active,Juniper,MX204,1,1
10.10.225.139,AUSTXRT74,AUSTXRT74.central.lightspeed.net,central,active,RAD,ETX-2,1,1
10.70.92.254,GEGWART16,GEGWART16.northwest.lightspeed.net,northwest,active,Arista,7280R,1,1
10.70.136.4,GEGWAAG06,GEGWAAG06.northwest.lightspeed.net,northwest,active,ADVA,FSP150,1,1
10.10.211.146,AUSTXRT94,AUSTXRT94.central.lightspeed.net,central,active,Arista,7280R,1,1
10.60.162.172,PHLPAAG80,PHLPAAG80.northeast.lightspeed.net,northeast,active,Juniper,MX204,1,1
10.60.195.6,BOSMART25,BOSMART25.northeast.lightspeed.net,northeast,down,RAD,ETX-2,0,1
10.30.199.193,LAXCASW08,LAXCASW08.west.lightspeed.net,west,active,Cisco,ISR4431,1,1
10.20.161.101,ATLGADS89,ATLGADS89.east.lightspeed.net,east,active,Nokia,7750 SR-1,1,1
10.50.149.15,ELPTXDS90,ELPTXDS90.southwest.lightspeed.net,southwest,active,Cisco,NCS540,1,1
10.60.136.222,BOSMADS09,BOSMADS09.northeast.lightspeed.net,northeast,active,Cisco,ISR4431,0,1
10.60.115.165,BOSMAAG46,BOSMAAG46.northeast.lightspeed.net,northeast,active,RAD,ETX-2,1,1
10.60.73.149,BOSMAED78,BOSMAED78.northeast.lightspeed.net,northeast,down,Arista,7280R,1,1
10.40.34.162,JAXFLAG38,JAXFLAG38.southeast.lightspeed.net,southeast,down,Nokia,7750 SR-1,1,1
10.70.228.181,BOIIDAG21,BOIIDAG21.northwest.lightspeed.net,northwest,active,Arista,7280R,0,1
10.30.9.228,LAXCART16,LAXCART16.west.lightspeed.net,west,active,RAD,ETX-2,1,1
10.70.252.207,GEGWAED49,GEGWAED49.northwest.lightspeed.net,northwest,active,RAD,ETX-2,1,1
10.60.53.198,NYCNYAG61,NYCNYAG61.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,0,1
10.30.173.74,SFOCASW55,SFOCASW55.west.lightspeed.net,west,active,Cisco,ISR4431,1,1
10.20.227.218,PITPAED22,PITPAED22.east.lightspeed.net,east,active,Juniper,MX204,1,1
10.10.214.52,AUSTXRT19,AUSTXRT19.central.lightspeed.net,central,active,Cisco,NCS540,1,0
10.60.225.168,BOSMASW22,BOSMASW22.northeast.lightspeed.net,northeast,active,RAD,ETX-2,1,1
10.60.161.111,BOSMASW31,BOSMASW31.northeast.lightspeed.net,northeast,active,Arista,7280R,1,1
10.60.136.156,BOSMAAG14,BOSMAAG14.northeast.lightspeed.net,northeast,degraded,RAD,ETX-2,0,1
10.30.184.139,SEAWART76,SEAWART76.west.lightspeed.net,west,active,Juniper,MX204,1,0
10.50.141.128,ABQNMRT75,ABQNMRT75.southwest.lightspeed.net,southwest,active,RAD,ETX-2,1,1
10.40.240.106,JAXFLCO49,JAXFLCO49.southeast.lightspeed.net,southeast,active,Cisco,ISR4431,1,1
10.40.235.16,MIAFLRT36,MIAFLRT36.southeast.lightspeed.net,southeast,active,Juniper,MX204,1,1
10.60.255.31,BOSMADS16,BOSMADS16.northeast.lightspeed.net,northeast,active,Arista,7280R,1,1
10.40.85.244,MIAFLSW71,MIAFLSW71.southeast.lightspeed.net,southeast,active,ADVA,FSP3000,1,1
10.70.104.19,PORORAG29,PORORAG29.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,1,1
10.60.36.182,PHLPACO66,PHLPACO66.northeast.lightspeed.net,northeast,degraded,Juniper,MX204,1,1
10.60.197.113,NYCNYED83,NYCNYED83.northeast.lightspeed.net,northeast,active,Nokia,7750 SR-1,1,1
10.30.5.24,LAXCASW79,LAXCASW79.west.lightspeed.net,west,active,RAD,ETX-2,0,1
10.30.123.44,SFOCAAG92,SFOCAAG92.west.lightspeed.net,west,degraded,RAD,ETX-2,1,1
10.20.90.105,ATLGASW92,ATLGASW92.east.lightspeed.net,east,degraded,ADVA,FSP3000,1,1
