region,status,fqdn,ip_address,missing_in_ipam
west,down,SEAWAAG22.west.lightspeed.net,10.30.221.58,0
southeast,down,MIAFLSW56.southeast.lightspeed.net,10.40.78.246,0
northwest,active,PORORDS70.northwest.lightspeed.net,10.70.165.83,0
northeast,active,BOSMAED27.northeast.lightspeed.net,10.60.78.27,0
southwest,active,ELPTXDS20.southwest.lightspeed.net,10.50.10.196,0
central,retired,AUSTXRT15.central.lightspeed.net,10.10.161.202,0
northwest,active,GEGWAED18.northwest.lightspeed.net,10.70.203.135,0
west,active,LAXCAED48.west.lightspeed.net,10.30.212.140,0
west,active,LAXCADS89.west.lightspeed.net,10.30.244.124,0
northeast,degraded,BOSMASW07.northeast.lightspeed.net,10.60.250.247,0
southeast,active,MIAFLED05.southeast.lightspeed.net,10.40.67.94,0
east,down,CLTNCDS46.east.lightspeed.net,10.20.238.8,0
northwest,active,BOIIDDS41.northwest.lightspeed.net,10.70.211.132,0
central,degraded,OKCOKAG45.central.lightspeed.net,10.10.239.98,0
northeast,active,PHLPART91.northeast.lightspeed.net,10.60.169.162,0
northeast,active,BOSMADS59.northeast.lightspeed.net,10.60.109.204,0
northwest,active,PORORDS16.northwest.lightspeed.net,10.70.213.60,0
northeast,degraded,BOSMART87.northeast.lightspeed.net,10.60.227.111,0
east,active,CLTNCSW03.east.lightspeed.net,10.20.129.46,0
west,active,LAXCADS53.west.lightspeed.net,10.30.174.222,0
northeast,active,PHLPADS60.northeast.lightspeed.net,10.60.15.242,0
west,active,SEAWAED54.west.lightspeed.net,10.30.184.6,0
northwest,active,GEGWAED24.northwest.lightspeed.net,10.70.165.194,0
central,active,DALTXAG74.central.lightspeed.net,10.10.65.204,0
northeast,degraded,NYCNYAG31.northeast.lightspeed.net,10.60.90.224,0
central,active,AUSTXED95.central.lightspeed.net,10.10.129.134,0
northwest,active,GEGWAED14.northwest.lightspeed.net,10.70.102.214,0
northwest,degraded,GEGWAED47.northwest.lightspeed.net,10.70.8.178,0
west,active,SEAWADS60.west.lightspeed.net,10.30.189.169,0
northwest,active,PORORSW62.northwest.lightspeed.net,10.70.159.153,0
southwest,active,PHXAZRT11.southwest.lightspeed.net,10.50.163.153,0
northwest,degraded,PORORAG90.northwest.lightspeed.net,10.70.101.219,0
northwest,active,GEGWADS40.northwest.lightspeed.net,10.70.82.10,0
northwest,active,GEGWASW88.northwest.lightspeed.net,10.70.195.211,0
southwest,down,ELPTXED75.southwest.lightspeed.net,10.50.44.252,0
northeast,active,PHLPAAG52.northeast.lightspeed.net,10.60.0.151,0
northeast,active,BOSMADS99.northeast.lightspeed.net,10.60.35.243,0
west,active,SFOCAED51.west.lightspeed.net,10.30.191.255,0
northwest,active,PORORDS49.northwest.lightspeed.net,10.70.198.54,0
west,down,SEAWAED26.west.lightspeed.net,10.30.107.40,0
