obs_ip_address,obs_fqdn,obs_status,ipam_region,missing_in_ipam
10.60.20.111,PHLPAAG48.northeast.lightspeed.net,active,northeast,0
10.40.12.42,JAXFLRT92.southeast.lightspeed.net,active,southeast,0
10.40.76.184,BNATNDS27.southeast.lightspeed.net,active,southeast,0
10.30.207.91,SEAWADS79.west.lightspeed.net,active,west,0
10.60.21.162,BOSMAED95.northeast.lightspeed.net,active,northeast,0
10.70.85.219,BOIIDED21.northwest.lightspeed.net,degraded,northwest,0
10.60.178.167,PHLPACO94.northeast.lightspeed.net,active,northeast,0
10.70.153.177,PORORED27.northwest.lightspeed.net,degraded,northwest,0
10.20.19.205,CLTNCCO51.east.lightspeed.net,degraded,east,0
10.10.67.252,AUSTXDS27.central.lightspeed.net,active,central,0
10.60.71.19,NYCNYDS13.northeast.lightspeed.net,active,northeast,0
10.60.57.126,PHLPART72.northeast.lightspeed.net,active,northeast,0
10.40.195.220,JAXFLED12.southeast.lightspeed.net,active,southeast,0
10.20.168.151,ATLGADS34.east.lightspeed.net,active,east,0
10.50.244.56,PHXAZSW84.southwest.lightspeed.net,active,southwest,0
10.70.70.214,GEGWADS33.northwest.lightspeed.net,active,northwest,0
10.70.164.70,GEGWADS12.northwest.lightspeed.net,down,northwest,0
10.70.100.227,PORORSW48.northwest.lightspeed.net,active,northwest,0
10.70.12.223,BOIIDSW96.northwest.lightspeed.net,active,northwest,0
10.70.9.210,BOIIDAG76.northwest.lightspeed.net,active,northwest,0
10.70.153.111,GEGWAED22.northwest.lightspeed.net,active,northwest,0
10.30.19.137,SEAWADS24.west.lightspeed.net,active,west,0
10.70.41.253,PORORDS66.northwest.lightspeed.net,active,northwest,0
10.60.156.186,NYCNYED21.northeast.lightspeed.net,active,northeast,0
10.10.236.105,OKCOKED15.central.lightspeed.net,active,central,0
10.30.212.105,SFOCAED35.west.lightspeed.net,active,west,0
10.70.170.54,GEGWART32.northwest.lightspeed.net,degraded,northwest,0
10.20.75.130,CLTNCED75.east.lightspeed.net,active,east,0
10.30.226.238,LAXCACO67.west.lightspeed.net,active,west,0
10.10.22.1,AUSTXDS87.central.lightspeed.net,degraded,central,0
10.60.194.210,NYCNYED90.northeast.lightspeed.net,active,northeast,0
10.60.201.98,BOSMAED40.northeast.lightspeed.net,active,northeast,0
10.40.31.230,BNATNED10.southeast.lightspeed.net,active,southeast,0
10.10.142.126,AUSTXRT06.central.lightspeed.net,active,central,0
10.70.172.61,BOIIDDS03.northwest.lightspeed.net,retired,northwest,0
10.70.183.31,PORORDS03.northwest.lightspeed.net,active,northwest,0
10.60.117.60,PHLPART28.northeast.lightspeed.net,active,northeast,0
10.70.147.238,BOIIDDS64.northwest.lightspeed.net,active,northwest,0
10.70.157.66,GEGWAED54.northwest.lightspeed.net,active,northwest,0
10.60.52.120,BOSMART75.northeast.lightspeed.net,retired,northeast,0
10.60.244.253,NYCNYED54.northeast.lightspeed.net,active,northeast,0
10.30.231.234,SFOCACO41.west.lightspeed.net,active,west,0
10.60.210.56,BOSMACO59.northeast.lightspeed.net,retired,northeast,0
10.60.26.252,NYCNYDS10.northeast.lightspeed.net,active,northeast,0
10.50.167.49,ABQNMDS75.southwest.lightspeed.net,down,southwest,0
10.60.227.244,PHLPAED78.northeast.lightspeed.net,degraded,northeast,0
10.60.77.63,BOSMASW53.northeast.lightspeed.net,active,northeast,0
10.70.12.39,GEGWAED79.northwest.lightspeed.net,degraded,northwest,0
10.30.149.18,SFOCAED41.west.lightspeed.net,degraded,west,0
10.10.155.41,OKCOKED04.central.lightspeed.net,active,central,0
10.30.219.49,LAXCASW06.west.lightspeed.net,degraded,west,0
10.30.195.84,SFOCART54.west.lightspeed.net,active,west,0
10.30.27.50,SFOCAED78.west.lightspeed.net,degraded,west,0
10.20.203.1,CLTNCDS07.east.lightspeed.net,retired,east,0
10.30.68.10,SEAWAED27.west.lightspeed.net,active,west,0
10.50.226.16,PHXAZSW41.southwest.lightspeed.net,active,southwest,0
10.30.231.17,LAXCAED11.west.lightspeed.net,active,west,0
10.70.192.218,BOIIDED25.northwest.lightspeed.net,active,northwest,0
10.50.254.114,PHXAZSW33.southwest.lightspeed.net,active,southwest,0
10.10.43.224,OKCOKED39.central.lightspeed.net,degraded,central,0
10.70.2.187,GEGWADS86.northwest.lightspeed.net,active,northwest,0
10.10.34.67,AUSTXDS65.central.lightspeed.net,active,central,0
10.40.98.128,JAXFLED29.southeast.lightspeed.net,degraded,southeast,0
10.60.249.74,BOSMADS26.northeast.lightspeed.net,active,,1
10.60.219.80,BOSMADS30.northeast.lightspeed.net,active,northeast,0
10.70.66.42,BOIIDSW02.northwest.lightspeed.net,active,northwest,0
10.20.112.14,ATLGASW13.east.lightspeed.net,active,east,0
10.60.32.18,BOSMACO09.northeast.lightspeed.net,degraded,northeast,0
10.30.160.117,LAXCAED08.west.lightspeed.net,active,west,0
10.60.62.140,NYCNYRT35.northeast.lightspeed.net,active,northeast,0
10.40.103.208,JAXFLDS59.southeast.lightspeed.net,retired,southeast,0
10.60.213.87,NYCNYDS82.northeast.lightspeed.net,active,northeast,0
10.30.184.232,SEAWADS72.west.lightspeed.net,active,west,0
10.70.236.39,GEGWADS30.northwest.lightspeed.net,active,northwest,0
10.30.50.115,SFOCAAG97.west.lightspeed.net,degraded,west,0
10.40.98.175,BNATNAG28.southeast.lightspeed.net,active,southeast,0
10.30.164.145,LAXCAED85.west.lightspeed.net,active,west,0
10.30.197.188,SFOCASW76.west.lightspeed.net,active,west,0
10.60.163.59,NYCNYDS43.northeast.lightspeed.net,active,northeast,0
10.70.67.101,BOIIDED32.northwest.lightspeed.net,active,northwest,0
10.20.126.142,CLTNCSW49.east.lightspeed.net,active,east,0
10.70.200.150,GEGWAAG18.northwest.lightspeed.net,active,northwest,0
10.70.100.231,BOIIDAG18.northwest.lightspeed.net,active,northwest,0
10.70.52.87,GEGWAED77.northwest.lightspeed.net,active,northwest,0
10.40.74.56,MIAFLSW88.southeast.lightspeed.net,degraded,southeast,0
10.20.79.229,CLTNCSW44.east.lightspeed.net,retired,east,0
10.20.131.47,PITPAED75.east.lightspeed.net,down,east,0
10.30.9.73,SFOCAAG35.west.lightspeed.net,active,west,0
10.20.163.75,ATLGAED53.east.lightspeed.net,active,east,0
10.60.128.147,PHLPAAG61.northeast.lightspeed.net,active,northeast,0
10.20.63.177,CLTNCDS20.east.lightspeed.net,degraded,east,0
10.60.120.243,PHLPAAG35.northeast.lightspeed.net,active,northeast,0
10.70.248.167,BOIIDAG29.northwest.lightspeed.net,active,northwest,0
10.60.247.129,PHLPASW53.northeast.lightspeed.net,active,,1
10.10.79.237,OKCOKDS81.central.lightspeed.net,active,central,0
10.70.149.19,GEGWAED49.northwest.lightspeed.net,active,northwest,0
