region,status,vendor,model,missing_in_inventory
west,down,ADVA,FSP3000,0
southeast,down,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
northeast,active,,,1
southwest,active,ADVA,FSP150,0
central,retired,Arista,7050X3,0
northwest,active,,,1
west,active,RAD,ETX-2,0
west,active,Juniper,QFX5120,0
northeast,degraded,Cisco,Catalyst9300,0
southeast,active,Juniper,SRX345,0
east,down,ADVA,FSP150,0
northwest,active,ADVA,FSP150,0
central,degraded,Arista,7280R,0
northeast,active,Arista,7050X3,0
northeast,active,,,1
northwest,active,Juniper,QFX5120,0
northeast,degraded,Arista,7050X3,0
east,active,Cisco,Catalyst9300,0
west,active,Juniper,QFX5120,0
northeast,active,Juniper,QFX5120,0
west,active,Cisco,ISR4431,0
northwest,active,,,1
central,active,Arista,7280R,0
northeast,degraded,ADVA,FSP3000,0
central,active,,,1
northwest,active,,,1
northwest,degraded,Cisco,ISR4431,0
west,active,ADVA,FSP150,0
northwest,active,Cisco,Catalyst9300,0
southwest,active,Arista,7050X3,0
northwest,degraded,Arista,7280R,0
northwest,active,ADVA,FSP150,0
northwest,active,Cisco,Catalyst9300,0
southwest,down,RAD,ETX-2,0
northeast,active,Arista,7280R,0
northeast,active,Juniper,QFX5120,0
west,active,Cisco,ISR4431,0
northwest,active,ADVA,FSP150,0
west,down,Cisco,ISR4431,0
northeast,active,ADVA,FSP150,0
northwest,active,Juniper,SRX345,0
northwest,active,,,1
west,active,ADVA,FSP150,0
northeast,active,,,1
central,active,,,1
northeast,active,Juniper,QFX5120,0
southeast,degraded,Juniper,QFX5120,0
northwest,active,ADVA,FSP150,0
west,down,Cisco,Catalyst9300,0
east,degraded,Cisco,Catalyst9300,0
northwest,degraded,RAD,ETX-2,0
central,active,Arista,7050X3,0
west,active,Juniper,MX204,0
east,degraded,,,1
southwest,active,,,1
northeast,active,Cisco,Catalyst9300,0
northwest,active,Juniper,QFX5120,0
northeast,active,RAD,ETX-2,0
west,active,,,1
northeast,degraded,Cisco,Catalyst9300,0
northwest,degraded,RAD,ETX-2,0
west,active,Juniper,QFX5120,0
west,active,Juniper,QFX5120,0
southwest,active,,,1
west,active,Juniper,QFX5120,0
southwest,active,Cisco,Catalyst9300,0
central,down,,,1
northwest,degraded,Cisco,Catalyst9300,0
northwest,down,Arista,7050X3,0
central,degraded,Juniper,QFX5120,0
central,active,Juniper,SRX345,0
northwest,active,Cisco,Catalyst9300,0
,active,Cisco,ISR4431,0
northeast,degraded,ADVA,FSP150,0
northeast,active,,,1
east,retired,,,1
west,active,ADVA,FSP150,0
southwest,active,Cisco,NCS540,0
northeast,active,Juniper,QFX5120,0
northeast,active,Arista,7280R,0
northeast,active,Cisco,Catalyst9300,0
west,active,Juniper,QFX5120,0
northwest,degraded,Cisco,Catalyst9300,0
northwest,active,,,1
southeast,active,RAD,ETX-2,0
east,down,,,1
northwest,active,,,1
northwest,active,Cisco,Catalyst9300,0
northwest,active,,,1
southeast,degraded,ADVA,FSP150,0
northwest,degraded,ADVA,FSP150,0
central,active,Cisco,Catalyst9300,0
northeast,active,,,1
northwest,active,ADVA,FSP150,0
northwest,down,,,1
northeast,active,Arista,7050X3,0
,degraded,,,1
northwest,degraded,Cisco,Catalyst9300,0
northwest,active,Cisco,Catalyst9300,0
northeast,active,Cisco,Catalyst9300,0
west,degraded,ADVA,FSP150,0
northwest,degraded,Cisco,Catalyst9300,0
west,degraded,Arista,7280R,0
west,active,,,1
northeast,active,Cisco,ISR4431,0
west,active,Nokia,7750 SR-1,0
northwest,degraded,Juniper,QFX5120,0
southwest,down,Juniper,QFX5120,0
east,active,Cisco,ISR4431,0
east,active,Juniper,QFX5120,0
northwest,active,Cisco,Catalyst9300,0
southeast,degraded,Juniper,QFX5120,0
west,degraded,Cisco,Catalyst9300,0
west,active,Cisco,Catalyst9300,0
northeast,retired,ADVA,FSP150,0
northwest,active,ADVA,FSP150,0
northeast,active,Juniper,QFX5120,0
northwest,degraded,Juniper,QFX5120,0
central,active,Nokia,7750 SR-1,0
northwest,degraded,,,1
southwest,down,Cisco,NCS540,0
east,active,Cisco,Catalyst9300,0
northwest,active,ADVA,FSP3000,0
