ip_address,hostname,fqdn,region,status,vendor,model,role,missing_in_inventory,missing_in_ipam,site_code,state_code,role_code,parsed_role,parsed_region
10.60.192.129,NYCNYCO94,NYCNYCO94.northeast.lightspeed.net,northeast,active,Cisco,NCS540,core,0,0,NYC,NY,CO,core,northeast
10.70.36.89,BOIIDSW94,BOIIDSW94.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,BOI,ID,SW,sw,northwest
10.30.97.19,LAXCASW48,LAXCASW48.west.lightspeed.net,west,active,Cisco,Catalyst9300,sw,0,0,LAX,CA,SW,sw,west
10.60.124.183,NYCNYRT05,NYCNYRT05.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0,NYC,NY,RT,rtr,northeast
10.20.250.213,PITPASW40,PITPASW40.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0,PIT,PA,SW,sw,east
10.10.162.99,DALTXSW42,DALTXSW42.central.lightspeed.net,central,degraded,Cisco,Catalyst9300,sw,0,0,DAL,TX,SW,sw,central
10.20.150.254,ATLGASW53,ATLGASW53.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0,ATL,GA,SW,sw,east
10.10.181.249,DALTXDS31,DALTXDS31.central.lightspeed.net,central,active,Juniper,QFX5120,dist,0,0,DAL,TX,DS,dist,central
10.60.49.48,PHLPART64,PHLPART64.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0,PHL,PA,RT,rtr,northeast
10.40.126.254,BNATNSW09,BNATNSW09.southeast.lightspeed.net,southeast,active,Cisco,Catalyst9300,sw,0,0,BNA,TN,SW,sw,southeast
10.30.241.89,LAXCACO38,LAXCACO38.west.lightspeed.net,west,active,Nokia,7750 SR-1,core,0,0,LAX,CA,CO,core,west
10.30.208.172,LAXCAED45,LAXCAED45.west.lightspeed.net,west,active,Juniper,SRX345,edge,1,0,LAX,CA,ED,edge,west
10.30.53.80,SFOCART30,SFOCART30.west.lightspeed.net,west,degraded,Arista,7050X3,rtr,0,0,SFO,CA,RT,rtr,west
10.70.15.120,GEGWASW31,GEGWASW31.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,GEG,WA,SW,sw,northwest
10.70.141.8,PORORDS43,PORORDS43.northwest.lightspeed.net,northwest,active,ADVA,FSP150,dist,0,0,POR,OR,DS,dist,northwest
10.50.205.30,ABQNMDS44,ABQNMDS44.southwest.lightspeed.net,southwest,active,ADVA,FSP150,dist,0,0,ABQ,NM,DS,dist,southwest
10.10.242.217,AUSTXDS33,AUSTXDS33.central.lightspeed.net,central,active,Juniper,QFX5120,dist,0,0,AUS,TX,DS,dist,central
10.60.74.158,NYCNYED49,NYCNYED49.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,1,0,NYC,NY,ED,edge,northeast
10.30.87.9,LAXCASW09,LAXCASW09.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw,0,0,LAX,CA,SW,sw,west
10.30.59.22,SFOCASW07,SFOCASW07.west.lightspeed.net,west,degraded,Cisco,Catalyst9300,sw,0,0,SFO,CA,SW,sw,west
10.60.198.81,NYCNYED55,NYCNYED55.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0,NYC,NY,ED,edge,northeast
10.20.115.43,PITPASW61,PITPASW61.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0,PIT,PA,SW,sw,east
10.60.113.246,PHLPART62,PHLPART62.northeast.lightspeed.net,northeast,active,Arista,7050X3,rtr,0,0,PHL,PA,RT,rtr,northeast
10.70.245.92,PORORAG01,PORORAG01.northwest.lightspeed.net,northwest,active,ADVA,FSP3000,agg,0,0,POR,OR,AG,agg,northwest
10.20.240.241,ATLGADS13,ATLGADS13.east.lightspeed.net,east,active,ADVA,FSP150,dist,0,0,ATL,GA,DS,dist,east
10.50.221.96,ABQNMED32,ABQNMED32.southwest.lightspeed.net,southwest,down,RAD,ETX-2,edge,1,0,ABQ,NM,ED,edge,southwest
10.10.237.185,OKCOKSW84,OKCOKSW84.central.lightspeed.net,central,active,Cisco,Catalyst9300,sw,0,0,OKC,OK,SW,sw,central
10.20.135.37,CLTNCRT84,CLTNCRT84.east.lightspeed.net,east,active,Arista,7050X3,rtr,0,0,CLT,NC,RT,rtr,east
10.70.59.201,BOIIDDS88,BOIIDDS88.northwest.lightspeed.net,northwest,active,Juniper,QFX5120,dist,0,0,BOI,ID,DS,dist,northwest
10.30.24.173,SFOCAED25,SFOCAED25.west.lightspeed.net,west,degraded,Cisco,ISR4431,edge,1,0,SFO,CA,ED,edge,west
10.60.200.185,BOSMADS37,BOSMADS37.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0,BOS,MA,DS,dist,northeast
10.70.56.169,GEGWASW67,GEGWASW67.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,GEG,WA,SW,sw,northwest
10.40.107.170,MIAFLED58,MIAFLED58.southeast.lightspeed.net,southeast,active,Juniper,SRX345,edge,0,0,MIA,FL,ED,edge,southeast
10.60.163.34,PHLPASW45,PHLPASW45.northeast.lightspeed.net,northeast,active,Cisco,Catalyst9300,sw,0,0,PHL,PA,SW,sw,northeast
10.20.105.158,PITPASW09,PITPASW09.east.lightspeed.net,east,active,Cisco,Catalyst9300,sw,0,0,PIT,PA,SW,sw,east
10.70.5.3,PORORED74,PORORED74.northwest.lightspeed.net,northwest,active,Cisco,ISR4431,edge,0,0,POR,OR,ED,edge,northwest
10.60.169.218,PHLPADS64,PHLPADS64.northeast.lightspeed.net,northeast,active,Juniper,QFX5120,dist,0,0,PHL,PA,DS,dist,northeast
10.70.97.169,GEGWAED02,GEGWAED02.northwest.lightspeed.net,northwest,down,RAD,ETX-2,edge,0,0,GEG,WA,ED,edge,northwest
10.60.102.111,NYCNYED08,NYCNYED08.northeast.lightspeed.net,northeast,degraded,Cisco,ISR4431,edge,1,0,NYC,NY,ED,edge,northeast
10.70.19.157,BOIIDRT08,BOIIDRT08.northwest.lightspeed.net,northwest,active,Arista,7050X3,rtr,0,0,BOI,ID,RT,rtr,northwest
10.70.238.151,GEGWASW08,GEGWASW08.northwest.lightspeed.net,northwest,active,Cisco,Catalyst9300,sw,0,0,GEG,WA,SW,sw,northwest
10.60.227.43,BOSMAED43,BOSMAED43.northeast.lightspeed.net,northeast,active,Juniper,SRX345,edge,1,0,BOS,MA,ED,edge,northeast
10.60.1.54,PHLPAED91,PHLPAED91.northeast.lightspeed.net,northeast,active,RAD,ETX-2,edge,0,0,PHL,PA,ED,edge,northeast
