inv_asset_id,inv_ip_address,inv_hostname,inv_vendor,inv_model
1,10.60.192.129,NYCNYCO94,Cisco,NCS540
2,10.70.36.89,BOIIDSW94,Cisco,Catalyst9300
3,10.30.97.19,LAXCASW48,Cisco,Catalyst9300
4,10.60.124.183,NYCNYRT05,Arista,7050X3
5,10.20.250.213,PITPASW40,Cisco,Catalyst9300
6,10.10.162.99,DALTXSW42,Cisco,Catalyst9300
7,10.20.150.254,ATLGASW53,Cisco,Catalyst9300
8,10.10.181.249,DALTXDS31,Juniper,QFX5120
9,10.60.49.48,PHLPART64,Arista,7050X3
10,10.40.126.254,BNATNSW09,Cisco,Catalyst9300
11,10.30.241.89,LAXCACO38,Nokia,7750 SR-1
12,10.30.53.80,SFOCART30,Arista,7050X3
13,10.70.15.120,GEGWASW31,Cisco,Catalyst9300
14,10.70.141.8,PORORDS43,ADVA,FSP150
15,10.50.205.30,ABQNMDS44,ADVA,FSP150
16,10.10.242.217,AUSTXDS33,Juniper,QFX5120
17,10.30.87.9,LAXCASW09,Cisco,Catalyst9300
18,10.30.59.22,SFOCASW07,Cisco,Catalyst9300
19,10.60.198.81,NYCNYED55,RAD,ETX-2
20,10.20.115.43,PITPASW61,Cisco,Catalyst9300
21,10.60.113.246,PHLPART62,Arista,7050X3
22,10.70.245.92,PORORAG01,ADVA,FSP3000
23,10.20.240.241,ATLGADS13,ADVA,FSP150
24,10.10.237.185,OKCOKSW84,Cisco,Catalyst9300
25,10.20.135.37,CLTNCRT84,Arista,7050X3
26,10.70.59.201,BOIIDDS88,Juniper,QFX5120
27,10.60.200.185,BOSMADS37,Juniper,QFX5120
28,10.70.56.169,GEGWASW67,Cisco,Catalyst9300
29,10.40.107.170,MIAFLED58,Juniper,SRX345
30,10.60.163.34,PHLPASW45,Cisco,Catalyst9300
31,10.20.105.158,PITPASW09,Cisco,Catalyst9300
32,10.70.5.3,PORORED74,Cisco,ISR4431
33,10.60.169.218,PHLPADS64,Juniper,QFX5120
34,10.70.97.169,GEGWAED02,RAD,ETX-2
35,10.70.19.157,BOIIDRT08,Arista,7050X3
36,10.70.238.151,GEGWASW08,Cisco,Catalyst9300
37,10.60.1.54,PHLPAED91,RAD,ETX-2
38,10.60.48.164,PHLPADS97,ADVA,FSP150
39,10.30.247.18,SFOCACO83,Cisco,NCS540
40,10.50.250.238,ELPTXSW71,Cisco,Catalyst9300
41,10.20.23.136,PITPADS16,ADVA,FSP150
42,10.60.49.88,PHLPAAG03,Arista,7280R
43,10.60.92.82,PHLPART93,Arista,7050X3
44,10.60.198.212,NYCNYED89,Juniper,SRX345
45,10.70.8.210,GEGWART14,Arista,7050X3
46,10.20.224.11,ATLGAED08,RAD,ETX-2
47,10.10.129.188,DALTXDS91,Juniper,QFX5120
48,10.10.113.213,OKCOKAG79,Arista,7280R
49,10.50.167.231,ELPTXDS23,ADVA,FSP150
50,10.20.210.173,PITPACO76,Juniper,MX204
51,10.30.189.234,SFOCAED65,Cisco,ISR4431
52,10.60.15.233,NYCNYRT34,Arista,7050X3
53,10.60.101.206,BOSMADS94,ADVA,FSP150
54,10.60.253.129,BOSMADS31,ADVA,FSP150
55,10.70.118.59,PORORAG63,ADVA,FSP3000
56,10.60.164.145,PHLPASW16,Cisco,Catalyst9300
57,10.60.106.79,PHLPACO71,Juniper,MX204
58,10.50.197.82,PHXAZED46,RAD,ETX-2
59,10.40.216.151,MIAFLDS46,ADVA,FSP150
60,10.60.58.166,PHLPASW97,Cisco,Catalyst9300
61,10.70.124.41,BOIIDCO71,Juniper,MX204
62,10.70.197.4,GEGWAED37,Cisco,ISR4431
63,10.20.111.140,ATLGADS89,Juniper,QFX5120
