ipam_asset_id,ipam_ip_address,ipam_fqdn,ipam_region
1,10.60.192.129,NYCNYCO94.northeast.lightspeed.net,northeast
2,10.70.36.89,BOIIDSW94.northwest.lightspeed.net,northwest
3,10.30.97.19,LAXCASW48.west.lightspeed.net,west
4,10.60.124.183,NYCNYRT05.northeast.lightspeed.net,northeast
5,10.20.250.213,PITPASW40.east.lightspeed.net,east
6,10.10.162.99,DALTXSW42.central.lightspeed.net,central
7,10.20.150.254,ATLGASW53.east.lightspeed.net,east
8,10.10.181.249,DALTXDS31.central.lightspeed.net,central
9,10.60.49.48,PHLPART64.northeast.lightspeed.net,northeast
10,10.40.126.254,BNATNSW09.southeast.lightspeed.net,southeast
11,10.30.241.89,LAXCACO38.west.lightspeed.net,west
12,10.30.208.172,LAXCAED45.west.lightspeed.net,west
13,10.30.53.80,SFOCART30.west.lightspeed.net,west
14,10.70.15.120,GEGWASW31.northwest.lightspeed.net,northwest
15,10.70.141.8,PORORDS43.northwest.lightspeed.net,northwest
16,10.50.205.30,ABQNMDS44.southwest.lightspeed.net,southwest
17,10.10.242.217,AUSTXDS33.central.lightspeed.net,central
18,10.60.74.158,NYCNYED49.northeast.lightspeed.net,northeast
19,10.30.87.9,LAXCASW09.west.lightspeed.net,west
20,10.30.59.22,SFOCASW07.west.lightspeed.net,west
21,10.60.198.81,NYCNYED55.northeast.lightspeed.net,northeast
22,10.20.115.43,PITPASW61.east.lightspeed.net,east
23,10.60.113.246,PHLPART62.northeast.lightspeed.net,northeast
24,10.70.245.92,PORORAG01.northwest.lightspeed.net,northwest
25,10.20.240.241,ATLGADS13.east.lightspeed.net,east
26,10.50.221.96,ABQNMED32.southwest.lightspeed.net,southwest
27,10.10.237.185,OKCOKSW84.central.lightspeed.net,central
28,10.20.135.37,CLTNCRT84.east.lightspeed.net,east
29,10.70.59.201,BOIIDDS88.northwest.lightspeed.net,northwest
30,10.30.24.173,SFOCAED25.west.lightspeed.net,west
31,10.60.200.185,BOSMADS37.northeast.lightspeed.net,northeast
32,10.70.56.169,GEGWASW67.northwest.lightspeed.net,northwest
33,10.40.107.170,MIAFLED58.southeast.lightspeed.net,southeast
34,10.60.163.34,PHLPASW45.northeast.lightspeed.net,northeast
35,10.20.105.158,PITPASW09.east.lightspeed.net,east
36,10.70.5.3,PORORED74.northwest.lightspeed.net,northwest
37,10.60.169.218,PHLPADS64.northeast.lightspeed.net,northeast
38,10.70.97.169,GEGWAED02.northwest.lightspeed.net,northwest
39,10.60.102.111,NYCNYED08.northeast.lightspeed.net,northeast
40,10.70.19.157,BOIIDRT08.northwest.lightspeed.net,northwest
41,10.70.238.151,GEGWASW08.northwest.lightspeed.net,northwest
42,10.60.227.43,BOSMAED43.northeast.lightspeed.net,northeast
43,10.60.1.54,PHLPAED91.northeast.lightspeed.net,northeast
44,10.60.48.164,PHLPADS97.northeast.lightspeed.net,northeast
45,10.30.247.18,SFOCACO83.west.lightspeed.net,west
46,10.70.46.39,GEGWAED86.northwest.lightspeed.net,northwest
47,10.50.250.238,ELPTXSW71.southwest.lightspeed.net,southwest
48,10.20.23.136,PITPADS16.east.lightspeed.net,east
49,10.60.49.88,PHLPAAG03.northeast.lightspeed.net,northeast
50,10.60.92.82,PHLPART93.northeast.lightspeed.net,northeast
51,10.70.8.210,GEGWART14.northwest.lightspeed.net,northwest
52,10.20.224.11,ATLGAED08.east.lightspeed.net,east
53,10.10.129.188,DALTXDS91.central.lightspeed.net,central
54,10.10.113.213,OKCOKAG79.central.lightspeed.net,central
55,10.50.167.231,ELPTXDS23.southwest.lightspeed.net,southwest
56,10.60.209.247,NYCNYED29.northeast.lightspeed.net,northeast
57,10.20.210.173,PITPACO76.east.lightspeed.net,east
58,10.30.189.234,SFOCAED65.west.lightspeed.net,west
