ip_address,hostname,fqdn,vendor,model,region,missing_in_inventory,missing_in_ipam
111.180.201.2,DALTXedge-rfmdipyctw,DALTXedge-rfmdipyctw.DAL.lightspeed.net,Cisco,ISR4431,DAL,1,0
169.99.104.133,NYCNYagg-tblbusyilx,NYCNYagg-tblbusyilx.NYC.lightspeed.net,Arista,7280R,NYC,0,0
23.247.224.119,CLTNCsw-escpgipuju,CLTNCsw-escpgipuju.CLT.lightspeed.net,Cisco,Catalyst9300,CLT,0,0
84.98.54.33,DALTXsw-yqianlaxcj,DALTXsw-yqianlaxcj.DAL.lightspeed.net,Cisco,Catalyst9300,DAL,0,0
185.91.54.33,ABQNMsw-nmabhccptg,ABQNMsw-nmabhccptg.ABQ.lightspeed.net,Cisco,Catalyst9300,ABQ,0,0
23.212.11.221,ELPTXcore-mlokivzlyh,ELPTXcore-mlokivzlyh.ELP.lightspeed.net,Cisco,NCS540,ELP,0,0
197.72.212.122,BOSMArtr-iemamginmp,BOSMArtr-iemamginmp.BOS.lightspeed.net,Arista,7050X3,BOS,0,0
139.230.215.94,PORORrtr-emnfddkymq,PORORrtr-emnfddkymq.POR.lightspeed.net,Arista,7050X3,POR,0,0
107.101.230.226,ATLGAagg-fdjukdpqqv,ATLGAagg-fdjukdpqqv.ATL.lightspeed.net,ADVA,FSP3000,ATL,0,0
38.93.168.84,PITPAcore-dejftpiwyf,PITPAcore-dejftpiwyf.PIT.lightspeed.net,Nokia,7750 SR-1,PIT,0,0
64.71.235.19,PITPAedge-civhsgietr,PITPAedge-civhsgietr.PIT.lightspeed.net,Juniper,SRX345,PIT,1,0
21.173.6.10,PHLPAedge-rztstuyfjo,PHLPAedge-rztstuyfjo.PHL.lightspeed.net,Cisco,ISR4431,PHL,0,0
121.192.92.50,PHLPAagg-eskymhkhsg,PHLPAagg-eskymhkhsg.PHL.lightspeed.net,ADVA,FSP3000,PHL,0,0
19.212.209.119,SEAWArtr-ljfwznpjtu,SEAWArtr-ljfwznpjtu.SEA.lightspeed.net,Arista,7050X3,SEA,0,0
109.27.230.84,NYCNYsw-dqhffdbzas,NYCNYsw-dqhffdbzas.NYC.lightspeed.net,Cisco,Catalyst9300,NYC,0,0
140.47.25.167,LAXCAcore-ggrcfgbssj,LAXCAcore-ggrcfgbssj.LAX.lightspeed.net,Cisco,NCS540,LAX,0,0
164.220.107.248,AUSTXcore-jugfojtwop,AUSTXcore-jugfojtwop.AUS.lightspeed.net,Nokia,7750 SR-1,AUS,0,0
56.171.175.64,JAXFLagg-eoqolkmthg,JAXFLagg-eoqolkmthg.JAX.lightspeed.net,ADVA,FSP3000,JAX,0,0
166.73.89.18,ELPTXcore-ngntfowwhl,ELPTXcore-ngntfowwhl.ELP.lightspeed.net,Cisco,NCS540,ELP,1,0
207.99.191.96,NYCNYedge-tgmktbqmhb,NYCNYedge-tgmktbqmhb.NYC.lightspeed.net,Juniper,SRX345,NYC,0,0
131.51.177.115,SFOCAedge-ngnxvoajim,SFOCAedge-ngnxvoajim.SFO.lightspeed.net,Cisco,ISR4431,SFO,1,0
175.178.237.224,LAXCAsw-vwsefaoram,LAXCAsw-vwsefaoram.LAX.lightspeed.net,Cisco,Catalyst9300,LAX,0,0
88.104.51.248,PORORsw-bpiaoamhur,PORORsw-bpiaoamhur.POR.lightspeed.net,Cisco,Catalyst9300,POR,0,0
223.64.57.27,JAXFLsw-sajfdmsvpn,JAXFLsw-sajfdmsvpn.JAX.lightspeed.net,Cisco,Catalyst9300,JAX,0,0
119.39.193.42,BOIIDedge-amqtyrwtua,BOIIDedge-amqtyrwtua.BOI.lightspeed.net,RAD,ETX-2,BOI,1,0
216.34.240.158,ELPTXdist-ssdxtkdjpr,ELPTXdist-ssdxtkdjpr.ELP.lightspeed.net,ADVA,FSP150,ELP,0,0
118.95.225.57,OKCOKrtr-nbunoxbrle,OKCOKrtr-nbunoxbrle.OKC.lightspeed.net,Arista,7050X3,OKC,0,0
57.7.137.114,BOIIDedge-hmafcpsbwo,BOIIDedge-hmafcpsbwo.BOI.lightspeed.net,RAD,ETX-2,BOI,0,0
11.10.166.156,CLTNCagg-xtmrvrrstg,CLTNCagg-xtmrvrrstg.CLT.lightspeed.net,Arista,7280R,CLT,0,0
179.102.193.51,BOIIDdist-tstwzrlsez,BOIIDdist-tstwzrlsez.BOI.lightspeed.net,Juniper,QFX5120,BOI,0,0
21.137.2.45,PORORedge-wupwuywszj,PORORedge-wupwuywszj.POR.lightspeed.net,Cisco,ISR4431,POR,0,0
129.143.240.133,CLTNCcore-tlowyhfvbj,CLTNCcore-tlowyhfvbj.CLT.lightspeed.net,Cisco,NCS540,CLT,0,0
104.116.125.229,PITPAdist-agtvriobah,PITPAdist-agtvriobah.PIT.lightspeed.net,ADVA,FSP150,PIT,0,0
97.228.137.192,SFOCAcore-eknlbqblep,SFOCAcore-eknlbqblep.SFO.lightspeed.net,Nokia,7750 SR-1,SFO,0,0
6.70.97.189,BNATNedge-trqtaruqqo,BNATNedge-trqtaruqqo.BNA.lightspeed.net,RAD,ETX-2,BNA,1,0
34.146.170.213,SEAWAcore-rioiwcfrfw,SEAWAcore-rioiwcfrfw.SEA.lightspeed.net,Nokia,7750 SR-1,SEA,0,0
191.14.54.18,ELPTXagg-gutvzwlotd,ELPTXagg-gutvzwlotd.ELP.lightspeed.net,Arista,7280R,ELP,0,0
168.242.38.179,DALTXrtr-eltgfjgdid,DALTXrtr-eltgfjgdid.DAL.lightspeed.net,Arista,7050X3,DAL,0,0
159.204.58.51,BOIIDsw-qmijnwztkr,BOIIDsw-qmijnwztkr.BOI.lightspeed.net,Cisco,Catalyst9300,BOI,0,0
70.43.193.3,PHLPAagg-owoiicrmux,PHLPAagg-owoiicrmux.PHL.lightspeed.net,ADVA,FSP3000,PHL,0,0
212.142.66.45,DALTXdist-rzymsvzzld,DALTXdist-rzymsvzzld.DAL.lightspeed.net,Juniper,QFX5120,DAL,0,0
88.180.58.153,AUSTXrtr-whecndskmu,AUSTXrtr-whecndskmu.AUS.lightspeed.net,Arista,7050X3,AUS,0,0
141.60.197.11,GEGWAdist-feeyydzjdh,GEGWAdist-feeyydzjdh.GEG.lightspeed.net,Juniper,QFX5120,GEG,0,0
46.126.51.210,SFOCAdist-mvdfmbjjxc,SFOCAdist-mvdfmbjjxc.SFO.lightspeed.net,ADVA,FSP150,SFO,0,0
47.116.43.179,MIAFLdist-xrxhnspehz,MIAFLdist-xrxhnspehz.MIA.lightspeed.net,Juniper,QFX5120,MIA,0,0
25.158.151.58,NYCNYdist-hohvaccoqi,NYCNYdist-hohvaccoqi.NYC.lightspeed.net,ADVA,FSP150,NYC,0,0
202.51.154.251,ATLGArtr-pxledfcjlc,ATLGArtr-pxledfcjlc.ATL.lightspeed.net,Arista,7050X3,ATL,0,0
106.231.32.215,MIAFLrtr-irdyfamgye,MIAFLrtr-irdyfamgye.MIA.lightspeed.net,Arista,7050X3,MIA,0,0
83.238.210.182,GEGWAdist-cbdrxarqbf,GEGWAdist-cbdrxarqbf.GEG.lightspeed.net,Juniper,QFX5120,GEG,0,0
100.156.46.27,DALTXcore-itftxemjpi,DALTXcore-itftxemjpi.DAL.lightspeed.net,Juniper,MX204,DAL,0,0
99.60.45.110,JAXFLedge-vvguaiftwi,JAXFLedge-vvguaiftwi.JAX.lightspeed.net,Cisco,ISR4431,JAX,0,0
218.77.173.70,PHLPAcore-thohkzsvrp,PHLPAcore-thohkzsvrp.PHL.lightspeed.net,Juniper,MX204,PHL,0,0
79.38.179.77,DALTXdist-zuphctpmsi,DALTXdist-zuphctpmsi.DAL.lightspeed.net,ADVA,FSP150,DAL,0,0
150.163.139.136,DALTXrtr-wnpqgoziql,DALTXrtr-wnpqgoziql.DAL.lightspeed.net,Arista,7050X3,DAL,0,0
